date,close
2019-01-02,100.0
2019-01-03,100.13
2019-01-04,100.25
2019-01-07,100.38
2019-01-08,100.5
2019-01-09,100.63
2019-01-10,100.75
2019-01-11,100.88
2019-01-14,101.0
2019-01-15,101.13
2019-01-16,101.25
2019-01-17,101.38
2019-01-18,101.5
2019-01-21,101.63
2019-01-22,101.76
2019-01-23,101.88
2019-01-24,102.01
2019-01-25,102.13
2019-01-28,102.26
2019-01-29,102.38
2019-01-30,102.51
2019-01-31,102.63
2019-02-01,102.76
2019-02-04,102.88
2019-02-05,103.01
2019-02-06,103.13
2019-02-07,103.26
2019-02-08,103.39
2019-02-11,103.51
2019-02-12,103.64
2019-02-13,103.76
2019-02-14,103.89
2019-02-15,104.01
2019-02-18,104.14
2019-02-19,104.26
2019-02-20,104.39
2019-02-21,104.51
2019-02-22,104.64
2019-02-25,104.76
2019-02-26,104.89
2019-02-27,105.02
2019-02-28,105.14
2019-03-01,105.27
2019-03-04,105.39
2019-03-05,105.52
2019-03-06,105.64
2019-03-07,105.77
2019-03-08,105.89
2019-03-11,106.02
2019-03-12,106.14
2019-03-13,106.27
2019-03-14,106.39
2019-03-15,106.52
2019-03-18,106.65
2019-03-19,106.77
2019-03-20,106.9
2019-03-21,107.02
2019-03-22,107.15
2019-03-25,107.27
2019-03-26,107.4
2019-03-27,107.52
2019-03-28,107.65
2019-03-29,107.77
2019-04-01,107.9
2019-04-02,108.03
2019-04-03,108.15
2019-04-04,108.28
2019-04-05,108.4
2019-04-08,108.53
2019-04-09,108.65
2019-04-10,108.78
2019-04-11,108.9
2019-04-12,109.03
2019-04-15,109.15
2019-04-16,109.28
2019-04-17,109.4
2019-04-18,109.53
2019-04-19,109.66
2019-04-22,109.78
2019-04-23,109.91
2019-04-24,110.03
2019-04-25,110.16
2019-04-26,110.28
2019-04-29,110.41
2019-04-30,110.53
2019-05-01,110.66
2019-05-02,110.78
2019-05-03,110.91
2019-05-06,111.03
2019-05-07,111.16
2019-05-08,111.29
2019-05-09,111.41
2019-05-10,111.54
2019-05-13,111.66
2019-05-14,111.79
2019-05-15,111.91
2019-05-16,112.04
2019-05-17,112.16
2019-05-20,112.29
2019-05-21,112.41
2019-05-22,112.54
2019-05-23,112.66
2019-05-24,112.79
2019-05-27,112.92
2019-05-28,113.04
2019-05-29,113.17
2019-05-30,113.29
2019-05-31,113.42
2019-06-03,113.54
2019-06-04,113.67
2019-06-05,113.79
2019-06-06,113.92
2019-06-07,114.04
2019-06-10,114.17
2019-06-11,114.29
2019-06-12,114.42
2019-06-13,114.55
2019-06-14,114.67
2019-06-17,114.8
2019-06-18,114.92
2019-06-19,115.05
2019-06-20,115.17
2019-06-21,115.3
2019-06-24,115.42
2019-06-25,115.55
2019-06-26,115.67
2019-06-27,115.8
2019-06-28,115.92
2019-07-01,116.05
2019-07-02,116.18
2019-07-03,116.3
2019-07-04,116.43
2019-07-05,116.55
2019-07-08,116.68
2019-07-09,116.8
2019-07-10,116.93
2019-07-11,117.05
2019-07-12,117.18
2019-07-15,117.3
2019-07-16,117.43
